,sahm,indpro,sp500,tr10,t10yff,unrate,pcepi,recession,date
195,-0.1,0.019660053394631786,0.08196372269774779,0.11809090909090969,1.29,0.061,0.23899999999999721,0,1978-04-01
196,0.0,0.004875147949462775,0.004225285824482914,0.19171428571428528,0.9833333333333333,0.06,0.22700000000000387,0,1978-05-01
197,-0.17,0.00643570907047059,-0.01774181516600558,0.11655844155844264,0.8440909090909091,0.059000000000000004,0.20899999999999608,0,1978-06-01
198,0.07,-0.0007531299842069136,0.05250683598519816,0.17772727272727273,0.8414999999999999,0.062,0.17600000000000193,0,1978-07-01
199,0.0,0.004000939284077278,0.02559339575142692,-0.22913043478260953,0.3530434782608696,0.059000000000000004,0.16400000000000148,0,1978-08-01
200,0.1,0.002441758015783443,-0.007287599662987565,0.005630434782609939,-0.04700000000000001,0.06,0.18499999999999517,0,1978-09-01
201,-0.03,0.0076377444822121,-0.0960418693079571,0.22588095238095107,-0.34285714285714286,0.057999999999999996,0.2610000000000028,0,1978-10-01
202,-0.03,0.007659395621282514,0.016502903144435168,0.16261904761904766,-0.9695,0.059000000000000004,0.1869999999999976,0,1978-11-01
203,0.0,0.005039119878588927,0.014779368643160356,0.20149999999999935,-0.9925,0.06,0.15500000000000114,0,1978-12-01
204,0.0,-0.005438845896954791,0.038976572038505124,0.09304545454545554,-0.9595454545454545,0.059000000000000004,0.25200000000000244,0,1979-01-01
205,-0.03,0.004898221849187301,-0.03720932795882687,-0.001212121212121886,-0.9833333333333333,0.059000000000000004,0.17900000000000205,0,1979-02-01
206,-0.07,0.0030892016367983686,0.05368449218858234,0.018939393939394478,-0.9609090909090909,0.057999999999999996,0.2639999999999958,0,1979-03-01
207,0.0,-0.011874638991167832,0.0016719944883584112,0.06472727272727141,-0.8295,0.057999999999999996,0.355000000000004,0,1979-04-01
208,0.03,0.008789299991275668,-0.02668949497065327,0.07038095238095465,-0.9733333333333334,0.055999999999999994,0.35599999999999454,0,1979-05-01
209,0.0,0.0001602862754927782,0.0379272152268414,-0.33857142857142897,-1.3752380952380951,0.057,0.28699999999999903,0,1979-06-01
210,-0.03,-0.0016156247535437183,0.008707485357153816,0.036190476190474996,-1.5352380952380953,0.057,0.267000000000003,0,1979-07-01
211,0.07,-0.006541291429876255,0.05171705585471325,0.07956521739130551,-1.9130434782608696,0.06,0.2700000000000031,0,1979-08-01
212,0.13,-6.814104420032134e-05,0.0,0.3051716247139584,-2.0442105263157893,0.059000000000000004,0.31400000000000006,0,1979-09-01
213,0.23,0.0068917752245782095,-0.07107281258567726,0.9643540669856456,-3.514545454545454,0.06,0.29299999999999926,0,1979-10-01
214,0.17,-0.0016139086013699467,0.04174084154976219,0.3540669856459324,-2.4857894736842105,0.059000000000000004,0.25099999999999767,0,1979-11-01
215,0.13,0.0006834231439197878,0.01662812716654461,-0.26715789473684204,-3.383,0.06,0.3059999999999974,0,1979-12-01
216,0.23,0.005300485128568532,0.056025455978084254,0.41627272727272846,-2.916363636363636,0.063,0.3850000000000051,0,1980-01-01
217,0.3,0.0003714849721230879,-0.004389437299605528,1.6124641148325356,-1.7521052631578946,0.063,0.402000000000001,1,1980-02-01
218,0.4,-0.0042021608725707656,-0.10735675868805132,0.3343107769423561,-4.353809523809524,0.063,0.4609999999999985,1,1980-03-01
219,0.67,-0.020021144020758594,0.04031643036456621,-1.2757142857142867,-5.845714285714286,0.069,0.1980000000000004,1,1980-04-01
220,1.27,-0.024814564753825454,0.045518821820273746,-1.2919047619047603,-0.7799999999999999,0.075,0.29699999999999704,1,1980-05-01
221,1.77,-0.012984989429253987,0.0266114692255101,-0.4033333333333342,0.3628571428571429,0.076,0.2430000000000021,1,1980-06-01
222,2.03,-0.007142814122658102,0.06301096320808354,0.46963203463203484,1.26,0.078,0.30100000000000193,1,1980-07-01
223,1.93,0.003189335630485421,0.005818496235036661,0.8541774891774896,1.6242857142857143,0.077,0.32499999999999574,0,1980-08-01
224,1.83,0.0165584181060685,0.02485602463420267,0.4066666666666663,0.6571428571428571,0.075,0.3640000000000043,0,1980-09-01
225,1.73,0.012623743770228126,0.015894060126232765,0.24279220779220623,-1.0318181818181817,0.075,0.31799999999999784,0,1980-10-01
226,1.7,0.016529923830959654,0.09746878460279644,0.933342245989305,-3.2058823529411766,0.075,0.3260000000000005,0,1980-11-01
227,1.57,0.006578745740455762,-0.0344612064716556,0.15938502673796862,-6.114090909090908,0.07200000000000001,0.26200000000000045,0,1980-12-01
228,1.4,-0.00634507725214088,-0.046821713917851795,-0.27551948051948116,-6.291904761904762,0.075,0.39000000000000057,0,1981-01-01
229,1.23,-0.0041138598102015,0.01318936380719701,0.625873015873017,-2.7472222222222222,0.07400000000000001,0.41499999999999915,0,1981-02-01
230,1.1,0.005051911204916986,0.03539861492073584,-0.07853535353535257,-1.580909090909091,0.07400000000000001,0.2890000000000015,0,1981-03-01
231,0.83,-0.004216359209213228,-0.023735350323892644,0.5636147186147173,-2.166190476190476,0.07200000000000001,0.18199999999999505,0,1981-04-01
232,0.47,0.005678591353068402,-0.0016578752855319718,0.4199761904761914,-4.3115000000000006,0.075,0.1880000000000024,0,1981-05-01
233,0.1,0.005200418844417475,-0.010462567009002974,-0.627227272727275,-5.543636363636364,0.075,0.16799999999999926,0,1981-06-01
234,0.0,0.006488856671347224,-0.002212643484644734,0.8086363636363654,-4.784545454545455,0.07200000000000001,0.25500000000000256,0,1981-07-01
235,-0.13,-0.0012630055395408798,-0.06411087046055833,0.6562337662337665,-3.0623809523809524,0.07400000000000001,0.26599999999999824,1,1981-08-01
236,0.07,-0.004807010301755064,-0.05533486660803486,0.3866666666666667,-0.6028571428571429,0.076,0.25900000000000034,1,1981-09-01
237,0.4,-0.007754523202477587,0.0479782861033585,-0.17571428571428527,0.11904761904761904,0.079,0.19500000000000028,1,1981-10-01
